transaction_id,customer_id,timestamp,channel,amount_src,device_id,new_device,ip_address,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud
fee8542d-8ee6-4b0d-9671-c294dd08ed26,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-03 18:40:59.468549+00:00,ATM,278.19,9f292dcc-3297-4947-a260-6a1ef69041ff,FALSE,221.78.171.180,US,FALSE,0.123,standard,263,0.522,0,0.223,0,0,0,0
bfdb9fc1-27fe-4a85-b043-4d813d679259,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-03 20:39:38.468549+00:00,web,208.51,3a95b9f5-309f-4684-a46d-e2ff2435bf78,TRUE,120.12.20.29,CA,FALSE,0.569,standard,947,0.475,0,0.268,0,1,0,0
fc855034-3ea5-4993-9afa-b511d93fe5e8,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-03 23:02:43.468549+00:00,mobile,160.33,a4737752-9aac-43ed-9d8b-2ccdffc24052,FALSE,223.96.181.93,US,FALSE,0.437,enhanced,367,0.939,0,0.176,0,0,0,0
2cf8c08e-42ec-444d-a755-34b9a2a0a4ca,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-04 01:08:53.468549+00:00,mobile,59.41,6aeb85a3-5603-4221-896c-9e6882764f1a,FALSE,186.228.15.74,US,FALSE,0.594,standard,147,0.551,0,0.391,0,0,0,0
d907a74d-b426-438d-97eb-dbe911aca91c,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-04 09:35:03.468549+00:00,mobile,200.96,a5b9250e-dbe0-4c5f-a6e7-5492b7349402,FALSE,11.82.47.62,US,FALSE,0.121,enhanced,257,0.894,0,0.257,0,0,0,0
ec17d6f2-6505-4de9-910f-0de3ac3bbc23,4cfe5cbc-d677-49bc-8739-b1d05f351250,2022-10-04 12:09:59.468549+00:00,mobile,526.9,209e3bb0-50ea-49b7-a681-036adf7b1251,FALSE,191.142.136.198,US,FALSE,0.094,low,616,0.702,0,0.361,0,0,0,0
2d8efe37-33ea-40de-9881-e553e3f2f8ce,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-04 12:37:41.468549+00:00,mobile,149.24,cd539961-17ad-4f6b-94ae-8080423af5e3,FALSE,106.34.98.71,CA,FALSE,0.299,standard,947,0.625,0,0.268,0,0,0,0
4d311532-ee0b-4985-b996-63e11a7144d3,4dfeffe2-94ed-4fc3-b5bc-89c6f1e86dab,2022-10-04 16:27:44.468549+00:00,web,276.51,96468499-b7b2-4273-a946-dbf2cb7dc95a,FALSE,32.170.54.208,CA,FALSE,0.087,standard,1041,0.867,0,0.245,0,1,0.12,0
db5bdea7-0701-4c07-9efa-815fa6ca9ede,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-04 21:00:36.468549+00:00,mobile,99.52,3c27e832-cb50-4fc5-b782-ec97f6a5d50c,FALSE,109.242.237.91,US,FALSE,0.182,enhanced,367,0.939,0,0.176,0,0,0,0
d74c81c0-bf5d-4184-8ce2-27fb753cb1c6,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-04 21:20:42.468549+00:00,web,302.55,3df8c73d-b716-4a6e-8172-d2b7359b60b2,FALSE,103.237.21.29,US,FALSE,0.413,standard,1016,0.944,0,0.247,0,0,0.1,1
ff57e293-80cf-4e72-baa4-37011f79b0ff,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-04 22:18:42.468549+00:00,mobile,187.84,8303b289-ab19-473d-986e-a358b73b47a4,FALSE,224.70.29.217,US,FALSE,0.318,enhanced,257,0.894,0,0.257,0,0,0.25,0
43a11314-6420-4e23-b0a8-69d5f010da86,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-04 22:54:28.468549+00:00,mobile,9998.43,4bb9533a-117f-455a-9e69-a484a77a7176,FALSE,79.129.58.248,US,FALSE,0.254,standard,1018,0.934,0,0.087,0,0,0,0
2743f55c-3693-4219-a62c-5b3d22caf2c6,d71c91b4-fee8-4104-9856-a5c6109a62e3,2022-10-05 00:57:43.468549+00:00,WEB,171.86,d9e1f739-eac3-4a99-9863-beb39ce9e9fb,FALSE,212.97.193.174,US,FALSE,0.109, standard  ,298,0.336,0,0.166,0,0,0,0
1a34a095-3be4-4a69-a22e-803be566526c,7041b9c1-3719-4ca8-9a6b-811b47cea6c0,2022-10-05 07:04:39.468549+00:00,mobile,322.24,9957de24-ace9-4938-bb81-6e7e41276961,FALSE,,,FALSE,0.245,,4,,0,0.407,0,0,0.05,0
293c5ffb-ea4a-4ddb-855d-b159d7faee37,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-05 13:34:02.468549+00:00,ATM,87.81,3c9c9dd3-91c1-4b39-a2f7-9c0df1d7b9b8,TRUE,31.210.109.168,US,FALSE,0.151,standard,147,0.401,0,0.391,0,1,0,0
d48dbfbf-2b25-47e0-8470-66e8996faa0f,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-05 15:32:41.468549+00:00,web,9991.85,438a44cf-2f89-4c5e-861c-942cb1bed78c,FALSE,15.50.13.82,US,FALSE,0.423,enhanced,257,0.894,0,0.257,0,0,0,0
939c7f20-585e-4534-b346-2c879ac977d7,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-05 17:13:30.468549+00:00,mobile,309.39,e240bdf3-bb1a-4d92-af94-8dd4b190ccd8,FALSE,178.184.240.95,US,FALSE,0.329,standard,1016,0.944,0,0.247,0,0,0,0
0517c799-0f40-4d7c-b720-2f4969b2564f,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-05 19:41:37.468549+00:00,web,260.49,4bcb0480-cfb2-4b4d-a41f-0471e01d47ec,FALSE,12.81.186.104,US,FALSE,0.316,enhanced,367,0.939,0,0.176,0,0,0.2,0
61d9b774-8426-4edc-bc73-272dbb254f60,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-05 22:10:20.468549+00:00,mobile,87.5,ed016a0f-359e-49be-aadc-8fbc3a50844f,TRUE,50.29.25.58,US,FALSE,0.24,standard,1018,0.784,0,0.087,0,0,0,0
25f9e6ad-9036-4158-900d-dfdd51b05d1c,d71c91b4-fee8-4104-9856-a5c6109a62e3,2022-10-06 01:21:47.468549+00:00,mobile,254.76,2e4ee45b-aac1-4239-b30c-35757a3a041c,FALSE,35.46.78.22,UK,TRUE,0.448,standard,298,0.336,0,0.166,0,0,0.25,0
af64ac0a-12ae-4742-b907-3c2ee82e1c0b,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-06 04:25:15.468549+00:00,mobile,326.05,5f187e9b-8172-42dc-83ec-95fb3182346b,FALSE,92.162.26.18,US,FALSE,0.066,standard,263,0.522,0,0.223,0,0,0,0
857dd214-d937-4ef4-9b0e-8a8a5ca04ee0,2557bd38-d411-4ad4-9ee3-2370333db5b4,2022-10-06 07:10:30.468549+00:00,ATM,293.42,3ffce1a8-b344-4bef-a610-58fe99b5a0b9,TRUE,111.241.62.47,CA,FALSE,0.366,standard,853,0.68,0,0.29,0,0,0,0
ea2f7e46-714b-4c1d-ae81-f0bf0c47313b,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-06 07:38:34.468549+00:00,web,208.25,cc6601fa-635d-4cea-9fea-399ca48cc251,FALSE,7.220.1.69,CA,TRUE,0.29,enhanced,367,0.939,0,0.176,0,0,0.25,0
fec2c143-ef9b-4274-b99f-713d1ed511b7,d71c91b4-fee8-4104-9856-a5c6109a62e3,2022-10-06 07:40:57.468549+00:00,web,121.71,82b5fc84-7382-4368-bf51-fed5b548d274,TRUE,229.134.112.249,US,FALSE,0.15,standard,298,0.186,0,0.166,0,0,0.25,0
c53f0b81-e21d-4c5e-81d6-baa0ad8c5d58,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-06 08:10:10.468549+00:00,mobile,39.5,d4584a3c-72bd-44a5-8c5d-3de5a533182b,FALSE,80.185.84.114,US,FALSE,0.291,standard,1018,0.934,0,0.087,0,0,0,0
8b701ec2-f0d3-432d-bb4b-7e1745bef34f,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-06 09:34:57.468549+00:00,mobile,121.06,162dcfa8-d2e4-4449-9b0d-7d56fd981991,FALSE,155.92.229.247,US,FALSE,0.163,standard,147,0.551,0,0.391,0,0,0,0
671f6c5a-3638-4f30-a7e7-9e7e05c972bc,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-06 10:06:36.468549+00:00,mobile,204.53,d132ac87-0ed0-4d66-a467-4d16430bdc1d,FALSE,97.24.196.237,US,FALSE,0.194,standard,263,0.522,0,0.223,0,0,0,0
cb118fb8-a30f-4e5b-b288-3975a35def8e,4dfeffe2-94ed-4fc3-b5bc-89c6f1e86dab,2022-10-06 11:15:12.468549+00:00,web,76.26,b824504d-8710-4ba2-a1a1-86f4bb956224,FALSE,64.18.229.205,CA,FALSE,0.424,standard,1041,0.867,0,0.245,0,0,0,0
dd3f2150-2bbd-4489-99b6-7b99c4f4f05c,924a7526-46e2-47d9-90ef-4dd432816253,2022-10-06 18:00:46.468549+00:00,mobile,149.15,5af01b42-7422-4f18-98e3-359e03a2d295,FALSE,196.195.2.252,CA,FALSE,0.554,standard,366,0.662,0,0.225,0,0,0,0
5e7cb574-cb06-456f-bb1b-428207cf0253,af8ca4c4-8703-4c55-b66c-2b76cd70040d,2022-10-06 19:02:12.468549+00:00,web,46.16,fe4a233a-f91e-4aac-b3a6-995f978d1ea3,FALSE,177.2.167.24,US,FALSE,0.41,standard,1018,0.934,0,0.087,0,0,0,0
62316f4f-c0d6-402e-89d1-9f20b692bef6,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-06 19:48:22.468549+00:00,mobile,97.81,fea688e8-fc0b-4eae-b389-fa62411aa613,FALSE,166.177.79.241,US,FALSE,0.647,standard,147,0.551,0,0.391,0,0,0.25,0
051036ba-dbe3-4d60-9b81-5683d6ca4da7,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-07 00:53:02.468549+00:00,mobile,150.59,d7e2b666-f474-4232-b689-25a1a261cb60,FALSE,68.123.191.159,CA,TRUE,0.27,standard,1016,0.944,0,0.247,0,0,0,0
1823877a-cc28-4333-929a-5523a0d20120,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-07 08:31:21.468549+00:00,mobile,232.66,33919fa4-5dbb-41b0-a895-ec15ab2c10f1,FALSE,62.78.115.149,US,FALSE,0.271,standard,263,0.522,0,0.223,0,0,0,0
e8650f06-b8f9-4465-9d23-7dc4c11e989b,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-07 08:48:11.468549+00:00,ATM,91.61,0e07b0ec-41c2-404d-9214-cc165fb9ea1d,FALSE,12.65.50.23,US,FALSE,0.537,standard,263,0.522,0,0.223,0,0,0,0
